9.49	35
9.49	42
10.03	42
10.32	35
10.58	38
10.59	42
10.86	35
10.86	42
11.13	42
11.69	35
11.69	42
12.24	42
12.52	35
12.79	38
12.79	42
13.07	35
13.07	42
13.34	42
13.62	35
13.89	35
13.89	42
14.44	42
14.72	35
14.72	42
14.99	38
14.99	42
15.27	35
15.27	42
15.54	42
15.79	42
16.1	35
16.1	42
16.65	35
16.65	42
16.92	35
16.92	42
17.19	38
17.19	42
17.75	35
17.75	42
18.31	35
18.31	42
19.12	35
19.13	42
19.39	38
19.39	42
19.67	35
19.67	42
19.94	42
20.5	35
20.5	42
21.33	35
21.6	38
21.6	42
21.88	35
22.43	35
22.43	42
22.7	35
22.7	42
23.53	35
23.53	42
23.8	38
23.8	42
24.08	35
24.08	42
24.35	42
24.62	42
24.9	35
24.9	42
25.46	35
25.46	42
25.73	35
25.73	42
26.0	38
26.0	42
26.55	35
26.55	42
27.1	42
27.11	35
27.37	42
27.65	38
27.65	42
27.94	42
27.95	35
28.2	42
28.48	42
28.75	38
28.75	42
29.02	42
29.3	35
29.3	42
29.57	42
29.85	38
29.85	42
30.13	42
30.4	42
30.67	42
30.95	35
30.95	42
31.22	42
31.5	42
31.77	42
32.05	38
32.05	42
32.33	42
32.6	42
32.88	42
33.7	35
44.71	35
44.71	42
44.71	49
45.12	35
45.26	38
45.26	42
45.54	35
45.54	42
45.81	42
46.09	35
46.09	42
46.36	38
46.36	42
46.63	42
46.77	42
46.91	35
46.91	42
47.05	35
47.18	42
47.32	35
47.46	38
47.46	42
47.74	35
47.74	42
48.02	42
48.15	35
48.3	42
48.56	42
48.57	38
48.84	42
48.98	42
49.11	35
49.11	42
49.38	42
49.53	35
49.66	38
49.66	42
49.94	35
49.94	42
50.07	42
50.21	42
50.49	35
50.49	42
50.76	38
50.76	42
51.04	42
51.17	42
51.31	35
51.32	42
51.46	35
51.73	35
51.73	42
51.87	38
51.87	42
52.14	35
52.14	42
52.42	42
52.56	35
52.56	42
52.71	42
52.97	38
52.97	42
53.24	42
53.37	42
53.52	35
53.52	42
53.8	42
53.93	35
53.93	42
54.07	38
54.07	42
54.34	35
54.34	42
54.48	38
54.62	42
54.89	35
54.89	42
55.03	42
55.17	38
55.17	42
55.44	42
55.72	35
55.72	42
55.86	35
56.13	35
56.13	42
56.27	38
56.27	42
56.55	35
56.55	42
56.82	42
56.96	35
57.1	42
57.37	38
57.37	42
57.65	42
57.78	42
57.92	35
57.92	42
58.19	42
58.33	35
58.47	38
58.47	42
58.75	35
58.75	42
